Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;70 cm:0,Mabel:1;;;;;;32.04;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;60 cm:0,Lacado Blanco mate:1;;;;;;11.28;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;60 cm:0,Laminado Niágara:1;;;;;;11.28;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;60 cm:0,Mabel:1;;;;;;0.0;0;100;1;;0;1;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;70 cm:0,Laminado Niágara:1;;;;;;45.74;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;80 cm:0,Lacado Blanco mate:1;;;;;;45.74;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;80 cm:0,Laminado Niágara:1;;;;;;45.74;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;80 cm:0,Mabel:1;;;;;;32.04;0;100;1;;0;0;;;;;1;0;0;0
23160ccf-4b77-4427-a719-3e0a69b7a9bd;Attribute_1:select:0,Attribute_2:select:1;70 cm:0,Lacado Blanco mate:1;;;;;;45.74;0;100;1;;0;0;;;;;1;0;0;0
