"Id del Producto";"Referencia del Producto";"Atributo (Nombre:Tipo:Posicion)*";"Valor (Valor:Posicion)*";"Ref proveedor";"Referencia";"EAN13";"UPC";"MPN";"Precio de coste";"Impacto en el precio";"Ecotasa";"Cantidad";"Cantidad minima";"Nivel de stock bajo";"Enviame un mensaje de correo electronico";"Impacto en el peso";"Predeterminado (0=No, 1=Si)";"Fecha de disponibilidad de la combinacion";"Elegir entre imagenes de productos por posicion(1,2,3)";"URLs de las imagenes(x,y,z...)";"Textos alternativos de imagen(x,y,z...)";"Id / Nombre de la tienda"
88;"";"Acabado:select:0";"Antracita brillo:0";"";"C0071391";"8414623314017";"";"";"";0.0;0;100;1;"";"";0;1;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/8857b21c-5d35-4af4-a98f-2f7f6acd6d67/blanco-doble-ceno-4c_1716353725.0308354";"";1
88;"";"Acabado:select:0";"Wengue arenado:0";"";"C0071389";"8414623313997";"";"";"";0.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/8857b21c-5d35-4af4-a98f-2f7f6acd6d67/blanco-doble-ceno-4c_1716353725.0308354";"";1
88;"";"Acabado:select:0";"Nogal arenado:0";"";"C0071388";"8414623313980";"";"";"";0.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/8857b21c-5d35-4af4-a98f-2f7f6acd6d67/blanco-doble-ceno-4c_1716353725.0308354";"";1
88;"";"Acabado:select:0";"Blanco brillo:0";"";"C0071390";"";"";"";"";0.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/8857b21c-5d35-4af4-a98f-2f7f6acd6d67/blanco-doble-ceno-4c_1716353725.0308354";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Azul ocean:1,Sin espejo / ver otras opciones en complementos:2";"";"C0077858";"8414623649584";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Azul ocean:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0077859";"8414623649614";"";"";"";143.27;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Azul ocean:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0077856";"8414623649539";"";"";"";93.9;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Azul ocean:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0077860";"8414623649621";"";"";"";242.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Azul ocean:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0077862";"8414623649676";"";"";"";274.91;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Roble nórdico:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076776";"8414623605177";"";"";"";189.73;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Blanco mate:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076789";"8414623605047";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Roble nórdico:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074168";"8414623510402";"";"";"";78.41;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Fresno samara:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073385";"8414623386243";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Roble nórdico:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076781";"8414623605122";"";"";"";242.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Blanco mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074173";"8414623510358";"";"";"";-0.97;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Blanco brillo:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073386";"8414623386236";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Blanco brillo:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076788";"8414623605054";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Blanco brillo:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073378";"8414623386311";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Arena mate:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074193";"8414623510150";"";"";"";274.91;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Azul ocean:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0077857";"8414623649577";"";"";"";177.15;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Arena mate:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076790";"8414623605030";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Blanco mate:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074171";"8414623510372";"";"";"";78.41;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Arena mate:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074179";"8414623510297";"";"";"";143.27;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Blanco mate:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074192";"8414623510167";"";"";"";274.91;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Azul ocean:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0077863";"8414623649683";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Roble nórdico:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076786";"8414623605078";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Azul ocean:1,Sin espejo / ver otras opciones en complementos:2";"";"C0077861";"8414623649669";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Fresno samara:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073373";"8414623386366";"";"";"";-0.97;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Blanco brillo:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073374";"";"";"";"";-0.97;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Arena mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074181";"8414623510273";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Fresno samara:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074190";"8414623510181";"";"";"";274.91;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
