"Product ID";"Active (0/1)";"Name *";"Categories (x,y,z...)";"Price tax excluded";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier";"Manufacturer";"EAN13";"UPC";"MPN";"Ecotax";"Width";"Height";"Depth";"Weight";"Delivery time of in-stock products";"Delivery time of out-of-stock products with allowed orders";"Quantity";"Minimal quantity";"Low stock level";"Send me an email when the quantity is under this level";"Visibility";"Additional shipping cost";"Unity";"Unit price";"Summary";"Description";"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Image alt texts (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature(Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";"Condition";"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock action";"Virtual product";"File URL";"Number of allowed downloads";"Expiration date";"Number of days";"ID / Name of shop";"Advanced stock management";"Depends On Stock";"Warehouse";"Acessories  (x,y,z...)"
"5017";"1";"Aplique de luz LED Royo Uri";"18";"38.090909";"1";"";"1";"8.36";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623323880";"";"ec24fe238a701";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Aplique de luz LED Royo Uri Cromado, 4000K";"Aplique de luz LED Royo Uri Cromado, 4000K";"baño,royo group,iluminación,complemento";"Aplique de luz LED Royo Uri";"";"Aplique de luz LED Royo Uri Cromado, 4000K";"aplique-de-luz-led-royo-uri";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/33e1618f-3e7d-405c-bef7-c76592682698/Uri_30_1671037628.1815212";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5018";"1";"Aplique de luz LED Royo Llum";"18";"76.041322";"1";"";"1";"19.31";"17.35";"";"";"";"";"Royo Group";"Royo Group";"8414623323880";"";"fa13d6a48d062";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Aplique de luz LED Royo Llum Cromado, 6000K";"Aplique de luz LED Royo Llum Cromado, 6000K";"baño,royo group,iluminación,complemento";"Aplique de luz LED Royo Llum";"";"Aplique de luz LED Royo Llum Cromado, 6000K";"aplique-royo-group-llum-led-4595";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/de98da0d-9e03-4503-a389-b51684396986/Llum_30_1671037433.8647523";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5019";"1";"Espejo de baño con luz LED Samsum Royo Dolga";"12";"191.305785";"1";"";"1";"41.98";"15.350000000000001";"";"";"128131";"";"Royo Group";"Royo Group";"8414623397928";"";"b3365fc999997";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño con luz LED Samsum Royo Dolga 45x100 cm, ovalada, luz retroiluminada neutra";"Espejo de baño con luz LED Samsum Royo Dolga 45x100 cm, ovalada, luz retroiluminada neutra";"baño,espejos compatibles,royo group,complemento";"Espejo de baño con luz LED Samsum Royo Dolga";"";"Espejo de baño con luz LED Samsum Royo Dolga 45x100 cm, ovalada, luz retroiluminada neutra";"espejo-de-bano-luz-led-royo-dolga";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/414db4e2-5887-4712-bfd4-0b9c8458a9e7/Dolga_1671125541.0196989";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5020";"1";"Armario con espejo Royo Fénix";"12";"290.92562";"1";"";"1";"73.9";"17.35";"";"";"";"";"Royo Group";"Royo Group";"";"";"77ca19c13006d";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Armario con espejo Royo Fénix Rectangular";"Armario con espejo Royo Fénix Rectangular";"baño,espejos compatibles,royo group,complemento";"Armario con espejo Royo Fénix";"";"Armario con espejo Royo Fénix Rectangular";"camerino-royo-fenix";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/6b235bbe-4355-4f45-ae94-647d3864af0e/Fenix_1676551432.4684865";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5021";"1";"Espejo de baño Royo Longo";"12";"106.661157";"1";"";"1";"23.4";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623345974";"";"ccb0bfc06b8f1";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño Royo Longo 45x100cm, rectangular";"Espejo de baño Royo Longo 45x100cm, rectangular";"baño,espejos compatibles,royo group,complemento";"Espejo de baño Royo Longo";"";"Espejo de baño Royo Longo 45x100cm, rectangular";"espejo-de-royo-group-longo";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/181ed193-155b-42b9-8592-3accd00bd094/Longo_1671127039.3540723";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5022";"1";"Armario con espejo Royo Nika";"12";"172.280992";"1";"";"1";"77.1";"27.0";"";"";"";"";"Royo Group";"Royo Group";"8414623191137";"";"b8c98769659f6";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Armario con espejo Royo Nika Forma rectangular";"Armario con espejo Royo Nika Forma rectangular";"baño,espejos compatibles,royo group,complemento";"Armario con espejo Royo Nika";"";"Armario con espejo Royo Nika Forma rectangular";"camerino-para-bano-royo-group-nika";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/be52b3b9-b48e-4fb0-939f-cecca786f89f/Nika_1676464395.574115";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5023";"1";"Espejo de baño Royo Eclipse";"12";"137.983471";"1";"";"1";"30.27";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623397881";"";"c257e6d8322e3";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño Royo Eclipse Marco metálico color negro, redondo";"Espejo de baño Royo Eclipse Marco metálico color negro, redondo";"baño,espejos compatibles,royo group,complemento";"Espejo de baño Royo Eclipse";"";"Espejo de baño Royo Eclipse Marco metálico color negro, redondo";"espejo-redondo-royo-eclipse-marco-negro-mate";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/b9d45350-b097-4bd8-86c3-d862c8d96bf8/Eclipse_1671132597.4854891";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5024";"1";"Espejo de baño con luz LED Samsum Royo Stella";"12";"193.85124";"1";"";"1";"42.53";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623218506";"";"1ac8b46e5a7cc";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño con luz LED Samsum Royo Stella Rectangular, luz Led neutra con antivaho";"Espejo de baño con luz LED Samsum Royo Stella Rectangular, luz Led neutra con antivaho";"baño,espejos compatibles,royo group,complemento";"Espejo de baño con luz LED Samsum Royo Stella";"";"Espejo de baño con luz LED Samsum Royo Stella Rectangular, luz Led neutra con antivaho";"espejo-royo-group-stella-varias-medidas";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/e4419a4c-0ca5-404f-bbeb-ce6459e7b78f/Stella_1671035935.8913367";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5025";"1";"Espejo de baño con luz LED Samsum Royo Lys";"12";"121.892562";"1";"";"1";"26.75";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623397928";"";"4cf3994ea7723";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño con luz LED Samsum Royo Lys Cuadrado o rectangular, luz frontal neutra";"Espejo de baño con luz LED Samsum Royo Lys Cuadrado o rectangular, luz frontal neutra";"baño,espejos compatibles,royo group,complemento";"Espejo de baño con luz LED Samsum Royo Lys";"";"Espejo de baño con luz LED Samsum Royo Lys Cuadrado o rectangular, luz frontal neutra";"espejo-de-bano-luz-led-royo-lys";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/88c093d7-5103-43f7-9b97-3508fa630262/Lys_1671125370.1830041";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
"5026";"1";"Espejo de baño con luz LED Samsum Royo Halo";"12";"228.553719";"1";"";"1";"50.15";"15.350000000000001";"";"";"";"";"Royo Group";"Royo Group";"8414623397928";"";"8339d33b6f701";"";"";"";"";"0";"Entre 3.0 y 5.0 días";"";"100";"1";"";"0";"both";"";"";"";"Espejo de baño con luz LED Samsum Royo Halo redondo, luz retroiluminada neutra";"Espejo de baño con luz LED Samsum Royo Halo redondo, luz retroiluminada neutra";"baño,espejos compatibles,royo group,complemento";"Espejo de baño con luz LED Samsum Royo Halo";"";"Espejo de baño con luz LED Samsum Royo Halo redondo, luz retroiluminada neutra";"espejo-de-bano-luz-led-royo-halo";"Disponible";"";"1";"";"";"1";"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/c0ba88a1-ef64-4dab-bce4-9ac091297ac6/Halo_1671125931.6804125";"";"1";"";"0";"new";"0";"0";"0";"0";"0";"";"";"";"";"1";"0";"0";"0";""
